sl-devid-bed-location
1-B88574850525792619-L9-BED
2-B88574850525783025-L9-BATHROOM
3-B88574850525792623-L10-BED
4-B88574850525783023-L10-BATHROOM
5-B8857485052578307-L14-BED
6-B88574850525792629-L14-BATHROOM
7-B88574850525781511-L12-BED
8-B895750515355161743-L12-BATHROOM
9-B88574850525783021-L11-BED
10-B88574850525792625-L11-BATHROOM
11-B8857485052579262-L6-BED
12-B88574850525792627-L7-BED
13-B88574850525792641-L8-BED
14-B8857485052578301-L1-BED
15-B88574850525792631-L21-BED
16-B88574850525792617-L3-BED
17-B8857485052579265-L4-BED
18-B88574850525792621-L5-BED
19-B88574850525792613-L16-BED
20-B88574850525781513-L15-BED
21-B895649495455182637-L17-BED
22-B895649495455181739-L17-BATHROOM
23-B895649495455181743-L19-BED
24-B895649495455182641-L19-BATHROOM
25-B895649495455182643-L20-BED
26-B895649495455182026-L20-BATHROOM
27-B89575051535516172-L18-BED
28-B895649495455181641-L18-BATHROOM
29-B89575051535515294-L2-BED
30-B895750515355162910-L2-BATHROOM
31-B895750515355161741-L6-BATHROOM
32-B895750515355161835-L7-BATHROOM
33-B895750515355153824-L3-BATHROOM
34-B895750515355163026-L5-BATHROOM
35-B895649495455183526-L15-BATHROOM
36-B895649495455181635-L16-BATHROOM
37-B895649495455181637-L1-BATHROOM
38-B895750515355163020-L8-BATHROOM
39-B895750515355153829-L4-BATHROOM
40-B895750515355161629-L21-BATHROOM














